User-ID,Location-IP
137649746,上海
215342084,吉林
114975293,江苏
61965342,安徽
227095345,广东
121722558,北京
119773125,北京
123392443,福建
4067295,上海
83616696,安徽
183507184,山东
161988609,广东
161988609,广东
214442058,山东
151847209,黑龙江
102791816,北京
229001824,浙江
2197848,四川
186122749,辽宁
222124290,江苏
48590828,新加坡
216326692,吉林
48888825,山东
1358596,上海
60504195,浙江
1358596,上海
1695369,北京
60459347,辽宁
115747207,重庆
3481146,北京
64986092,上海
2231124,湖南
2087422,江苏
53748765,北京
64986092,上海
39081665,上海
253108158,陕西
47631056,山东
43915215,广东
2717385,湖北
1634596,北京
1388521,陕西
1079106,北京
3832050,湖北
61629639,广东
4446528,北京
1726256,北京
49148307,北京
162332475,北京
178082141,山西
134359493,中国香港
3155342,辽宁
50124048,北京
93230766,天津
1884878,德国
134359493,中国香港
2551699,北京
87195663,重庆
214538315,山东
139465623,安徽
139465623,安徽
224725912,湖北
1045899,河北
52502114,上海
65588628,江苏
208521321,美国
55275802,上海
136775123,北京
3658768,日本
152420693,江苏
44357254,上海
59960101,上海
218501242,上海
232942677,江苏
211803839,江西
197339458,青海
142221946,浙江
1280058,广东
158359234,江苏
63209036,美国
142221946,浙江
1053522,江苏
45122610,北京
2827298,北京
92359784,江苏
192553107,上海
40014667,四川
106973082,湖南
227355883,河北
267389951,湖北
250268965,浙江
154532418,河南
1041720,湖南
239865649,江苏
154532418,河南
154064165,广东
143805058,山东
174650673,贵州
2469799,江苏
175269255,浙江
152127072,安徽
167804258,北京
60504195,浙江
1085637,浙江
166168890,上海
2114688,云南
240246727,湖北
1352511,上海
142778663,江西
1565237,宁夏
149664294,广东
36216271,河北
1231914,上海
190201638,北京
162529765,上海
89229131,上海
89993403,甘肃
189526964,重庆
183928552,云南
29273354,广西
2273373,云南
1602071,广东
89993403,甘肃
4352707,广西
152142084,广西
2761276,北京
58101521,黑龙江
1047514,四川
23925657,山西
241498195,广东
2132207,辽宁
184420599,四川
193283810,上海
139690339,北京
66858097,云南
3351052,上海
253108158,陕西
124705527,海南
124705527,海南
1166692,江苏
3177308,上海
2611882,辽宁
126480642,广东
36539878,丹麦
17966866,湖北
173957422,湖南
142585095,浙江
142585095,浙江
2730208,北京
10464750,北京
4541080,浙江
195815744,浙江
15523766,广东
179177117,河北
204119957,山西
268802318,广西
49805094,四川
157036332,上海
158025783,浙江
158025783,浙江
190920121,湖北
127226467,江苏
53519362,北京
120943431,陕西
